abreviatura,original
ninguna,nan 
lab.,laboratorio 
lab ,laboratorio 
laboratoire,laboratorio
laborar,laboratorio
contempo ,contemporanea 
contemporania,contemporanea
contemporaneo,contemporanea
laboratorio de contemporanea,laboratorio de fisica contemporanea
*laboratorio de fisica contemporanea*,laboratorio de fisica contemporanea i
labcontemporanea,laboratorio de fisica contemporanea
laboratorio de mecanica vectorial,laboratorio de mecanica
algebra i,algebra
algebra para fisicos,algebra
algebra lineal*,algebra lineal i
ecuaciones diferenciales*,ecuaciones diferenciales i
calculo i,calculo diferencial e integral i
calculo ii,calculo diferencial e integral ii
calculo iii,calculo diferencial e integral iii
calculo iv,calculo diferencial e integral iv
*calculo*,calculo diferencial e integral i
edo ,ecuaciones diferenciales 
maf,matematicas avanzadas de la fisica
variable compleja*,variable compleja i
fenomeno ,fenomenos 
fenomenos*,fenomenos colectivos
electro ,electromagnetismo 
*electro*,electromagnetismo i
*electromagnetismo*,electromagnetismo i
de electro*,de electromagnetismo
intro ,introduccion
introd ,introduccion
ifc,introduccion a la fisica cuantica
*fisica atomica*,fisica atomica y materia condensada 
fisica nuclear*,fisica nuclear y subnuclear
sub nuclear,subnuclear
*nuclear y subnuclear*,fisica nulcear y subnuclear
dmd*,dinamica de medios deformables
*medios deformables,dinamica de medios deformables
mecanica de medios deformables,dinamica de medios deformables
mecanica de fluidos,dinamica de medios deformables
relatividad general,relatividad
ciantica,cuantica
algun,
alguna,
 l , i
 l*, i
 ll , ii
 ll*, ii
lll,iii
ingles i*,ingles
ingles ii*,ingles
ingles iii*,ingles
ingles iv*,ingles
ingles v*,ingles
ingles vi*,ingles